"Human"	"Mouse"	"value"
"67"	"plasmacytoid.dendritic.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00945378151260504
"518"	"neutrophil"	"fibroblast.1"	0.00940860215053763
"245"	"fibroblast"	"neutrophil"	0.00938086303939963
"390"	"capillary.aerocyte"	"lymphocyte"	0.009375
"98"	"mesothelial.cell"	"pulmonary.artery.endothelial.cell"	0.00922722029988466
"507"	"club.cell"	"fibroblast.1"	0.00916030534351145
"463"	"basophil"	"fibroblast"	0.00911854103343465
"376"	"smooth.muscle.cell"	"non.classical.monocyte"	0.00909842845326716
"415"	"type.i.pneumocyte"	"lymphocyte"	0.00904605263157895
"165"	"club.cell"	"pericyte.cell"	0.00900900900900901
"50"	"classical.monocyte"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00898587933247754
"247"	"lung.ciliated.cell"	"neutrophil"	0.00897263346792283
"127"	"club.cell"	"capillary.endothelial.cell"	0.00895255147717099
"530"	"type.ii.pneumocyte"	"fibroblast.1"	0.0089171974522293
"147"	"serous.cell.of.epithelium.of.bronchus"	"capillary.endothelial.cell"	0.00885668276972625
"454"	"type.ii.pneumocyte"	"myofibroblast.cell"	0.00883838383838384
"208"	"intermediate.monocyte"	"B.cell"	0.00882723833543506
"250"	"mesothelial.cell"	"neutrophil"	0.00878155872667398
"414"	"smooth.muscle.cell"	"lymphocyte"	0.00875796178343949
"352"	"capillary.aerocyte"	"non.classical.monocyte"	0.0087527352297593
"72"	"smooth.muscle.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00873998543335761
"166"	"dendritic.cell"	"pericyte.cell"	0.00873998543335761
"251"	"myofibroblast.cell"	"neutrophil"	0.00872219799389446
"178"	"non.classical.monocyte"	"pericyte.cell"	0.00864553314121038
"201"	"capillary.endothelial.cell"	"B.cell"	0.00860420650095602
"15"	"endothelial.cell.of.artery"	"ciliated.epithelial.cell"	0.00856423173803527
"53"	"endothelial.cell.of.artery"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00852878464818763
"372"	"pulmonary.ionocyte"	"non.classical.monocyte"	0.00846023688663283
"14"	"dendritic.cell"	"ciliated.epithelial.cell"	0.00844594594594595
"304"	"vein.endothelial.cell"	"alveolar.macrophage"	0.00830367734282325
"232"	"alveolar.fibroblast"	"neutrophil"	0.00829015544041451
"486"	"pulmonary.ionocyte"	"fibroblast"	0.00827472072817542
"466"	"capillary.aerocyte"	"fibroblast"	0.00827300930713547
"126"	"classical.monocyte"	"capillary.endothelial.cell"	0.00827129859387924
"216"	"non.classical.monocyte"	"B.cell"	0.00818553888130969
"118"	"alveolar.fibroblast"	"capillary.endothelial.cell"	0.00814211695040711
"64"	"non.classical.monocyte"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00806451612903226
"425"	"basophil"	"myofibroblast.cell"	0.00806451612903226
"442"	"neutrophil"	"myofibroblast.cell"	0.00801603206412826
"150"	"type.ii.pneumocyte"	"capillary.endothelial.cell"	0.00801282051282051
"154"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00800582241630277
"158"	"basal.cell"	"pericyte.cell"	0.00798838053740015
"479"	"myofibroblast.cell"	"fibroblast"	0.00794392523364486
"220"	"pulmonary.ionocyte"	"B.cell"	0.0079428117553614
"482"	"non.classical.monocyte"	"fibroblast"	0.00789889415481832
"100"	"neutrophil"	"pulmonary.artery.endothelial.cell"	0.00787918581746553
"456"	"vein.endothelial.cell"	"myofibroblast.cell"	0.00783699059561128
"353"	"capillary.endothelial.cell"	"non.classical.monocyte"	0.00782997762863535
"153"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00782778864970646
"159"	"basophil"	"pericyte.cell"	0.00777385159010601
"116"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00776531492666091
"262"	"smooth.muscle.cell"	"neutrophil"	0.0077574047954866
"375"	"serous.cell.of.epithelium.of.bronchus"	"non.classical.monocyte"	0.00769230769230769
"272"	"basal.cell"	"alveolar.macrophage"	0.00767543859649123
"4"	"alveolar.fibroblast"	"ciliated.epithelial.cell"	0.00761421319796954
"461"	"b.cell"	"fibroblast"	0.0076103500761035
"80"	"alveolar.fibroblast"	"pulmonary.artery.endothelial.cell"	0.00759219088937093
"18"	"intermediate.monocyte"	"ciliated.epithelial.cell"	0.00755531570426336
"225"	"type.i.pneumocyte"	"B.cell"	0.00755287009063444
"205"	"endothelial.cell.of.artery"	"B.cell"	0.00754310344827586
"259"	"respiratory.goblet.cell"	"neutrophil"	0.00750750750750751
"200"	"capillary.aerocyte"	"B.cell"	0.00749063670411985
"113"	"vascular.associated.smooth.muscle.cell"	"pulmonary.artery.endothelial.cell"	0.00735970561177553
"358"	"endothelial.cell.of.lymphatic.vessel"	"non.classical.monocyte"	0.0072992700729927
"286"	"lung.microvascular.endothelial.cell"	"alveolar.macrophage"	0.00726392251815981
"237"	"bronchial.vessel.endothelial.cell"	"neutrophil"	0.00725952813067151
"401"	"macrophage"	"lymphocyte"	0.0072463768115942
"369"	"pericyte.cell"	"non.classical.monocyte"	0.00723327305605787
"477"	"macrophage"	"fibroblast"	0.00718390804597701
"489"	"serous.cell.of.epithelium.of.bronchus"	"fibroblast"	0.00711237553342817
"432"	"dendritic.cell"	"myofibroblast.cell"	0.00710227272727273
"20"	"lung.microvascular.endothelial.cell"	"ciliated.epithelial.cell"	0.00707964601769911
"424"	"basal.cell"	"myofibroblast.cell"	0.00707213578500707
"410"	"pulmonary.ionocyte"	"lymphocyte"	0.00704225352112676
"419"	"cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00695249130938586
"437"	"lung.ciliated.cell"	"myofibroblast.cell"	0.00693160813308688
