"Spleen"	"Bone marrow"	"value"
"296"	"erythrocyte"	"nampt.neutrophil"	0.000858369098712446
"251"	"intermediate.monocyte"	"myeloid.progenitor"	0.000790513833992095
"258"	"neutrophil"	"myeloid.progenitor"	0.000576036866359447
"114"	"neutrophil"	"erythroid.progenitor"	0.000544365813826892
"6"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"8"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0
"9"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0
"11"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"14"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0
"15"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0
"18"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0
"20"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0
"35"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0
"44"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0
"50"	"cd4.positive..alpha.beta.memory.t.cell"	"cd24.neutrophil"	0
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"cd24.neutrophil"	0
"62"	"memory.b.cell"	"cd24.neutrophil"	0
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0
"75"	"cd8.positive..alpha.beta.memory.t.cell"	"erythrocyte"	0
"86"	"memory.b.cell"	"erythrocyte"	0
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"erythroid.progenitor"	0
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0
"122"	"cd4.positive..alpha.beta.memory.t.cell"	"granulocyte"	0
"123"	"cd8.positive..alpha.beta.memory.t.cell"	"granulocyte"	0
"133"	"mature.nk.t.cell"	"granulocyte"	0
"135"	"naive.b.cell"	"granulocyte"	0
"136"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"granulocyte"	0
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"granulocyte"	0
"139"	"nk.cell"	"granulocyte"	0
"143"	"regulatory.t.cell"	"granulocyte"	0
"144"	"type.i.nk.t.cell"	"granulocyte"	0
"147"	"cd8.positive..alpha.beta.memory.t.cell"	"hematopoietic.stem.cell"	0
"161"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0
"168"	"type.i.nk.t.cell"	"hematopoietic.stem.cell"	0
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"176"	"erythrocyte"	"macrophage"	0
"181"	"mature.nk.t.cell"	"macrophage"	0
"182"	"memory.b.cell"	"macrophage"	0
"184"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"macrophage"	0
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"memory.b.cell"	0
"203"	"intermediate.monocyte"	"memory.b.cell"	0
"205"	"mature.nk.t.cell"	"memory.b.cell"	0
"208"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"monocyte"	0
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"monocyte"	0
"224"	"erythrocyte"	"monocyte"	0
"230"	"memory.b.cell"	"monocyte"	0
"231"	"naive.b.cell"	"monocyte"	0
