"Spleen"	"Lung"	"value"
"375"	"naive.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0133418043202033
"837"	"plasmacytoid.dendritic.cell"	"type.i.pneumocyte"	0.0132911392405063
"159"	"naive.b.cell"	"basophil"	0.0132547864506627
"584"	"erythrocyte"	"nk.cell"	0.0132085855806274
"645"	"plasmacytoid.dendritic.cell"	"pericyte.cell"	0.0132013201320132
"231"	"naive.b.cell"	"capillary.aerocyte"	0.013184584178499
"754"	"innate.lymphoid.cell"	"respiratory.mucous.cell"	0.0131180625630676
"399"	"naive.b.cell"	"fibroblast"	0.0130693069306931
"100"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.0130404941660947
"341"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.artery"	0.0130331753554502
"543"	"naive.b.cell"	"myofibroblast.cell"	0.0130051091500232
"119"	"regulatory.t.cell"	"b.cell"	0.012987012987013
"637"	"mature.nk.t.cell"	"pericyte.cell"	0.0129749768303985
"161"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"basophil"	0.0129390018484288
"198"	"classical.monocyte"	"bronchial.vessel.endothelial.cell"	0.0128840436075322
"225"	"hematopoietic.stem.cell"	"capillary.aerocyte"	0.0128452151573539
"798"	"classical.monocyte"	"smooth.muscle.cell"	0.0128398791540786
"43"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0127659574468085
"514"	"innate.lymphoid.cell"	"mesothelial.cell"	0.012720156555773
"484"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0127005347593583
"222"	"classical.monocyte"	"capillary.aerocyte"	0.012621359223301
"513"	"hematopoietic.stem.cell"	"mesothelial.cell"	0.0126112759643917
"127"	"endothelial.cell"	"basal.cell"	0.0125342734038386
"775"	"endothelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0125284738041002
"179"	"intermediate.monocyte"	"bronchial.smooth.muscle.cell"	0.0124895920066611
"220"	"cd8.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.012450481041313
"129"	"hematopoietic.stem.cell"	"basal.cell"	0.0123660346248969
"151"	"endothelial.cell"	"basophil"	0.0123504438440756
"628"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.0122636688809402
"210"	"neutrophil"	"bronchial.vessel.endothelial.cell"	0.0122448979591837
"58"	"innate.lymphoid.cell"	"adventitial.cell"	0.012241054613936
"22"	"platelet"	"cd8.positive..alpha.beta.t.cell"	0.0121703853955375
"873"	"hematopoietic.stem.cell"	"vascular.associated.smooth.muscle.cell"	0.0121328224776501
"872"	"erythrocyte"	"vascular.associated.smooth.muscle.cell"	0.0121155638397018
"203"	"intermediate.monocyte"	"bronchial.vessel.endothelial.cell"	0.012
"709"	"mature.nk.t.cell"	"pulmonary.ionocyte"	0.0119914346895075
"168"	"type.i.nk.t.cell"	"basophil"	0.011986301369863
"297"	"hematopoietic.stem.cell"	"club.cell"	0.011965811965812
"560"	"erythrocyte"	"neutrophil"	0.0119363395225464
"481"	"cd1c.positive.myeloid.dendritic.cell"	"macrophage"	0.0118421052631579
"296"	"erythrocyte"	"club.cell"	0.0118168389955687
"887"	"regulatory.t.cell"	"vascular.associated.smooth.muscle.cell"	0.0117773019271949
"468"	"macrophage"	"lung.microvascular.endothelial.cell"	0.0115789473684211
"803"	"intermediate.monocyte"	"smooth.muscle.cell"	0.0114942528735632
"630"	"classical.monocyte"	"pericyte.cell"	0.0114660114660115
"244"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.011441647597254
"169"	"cd1c.positive.myeloid.dendritic.cell"	"bronchial.smooth.muscle.cell"	0.0114345114345114
"78"	"classical.monocyte"	"alveolar.fibroblast"	0.0114285714285714
"910"	"platelet"	"vein.endothelial.cell"	0.0114285714285714
"90"	"neutrophil"	"alveolar.fibroblast"	0.0113851992409867
"906"	"neutrophil"	"vein.endothelial.cell"	0.0113293051359517
"678"	"classical.monocyte"	"plasmacytoid.dendritic.cell"	0.0113085621970921
"883"	"nk.cell"	"vascular.associated.smooth.muscle.cell"	0.0112994350282486
"850"	"innate.lymphoid.cell"	"type.ii.pneumocyte"	0.0112936344969199
"15"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0112781954887218
"353"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0112676056338028
"56"	"erythrocyte"	"adventitial.cell"	0.0111607142857143
"311"	"regulatory.t.cell"	"club.cell"	0.0111524163568773
