"Lung"	"Trachea"	"value"
"427"	"bronchial.vessel.endothelial.cell"	"macrophage"	0.0102442868400315
"94"	"intermediate.monocyte"	"basal.cell"	0.0102040816326531
"398"	"intermediate.monocyte"	"ionocyte"	0.0101694915254237
"428"	"capillary.aerocyte"	"macrophage"	0.010077519379845
"178"	"non.classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0100502512562814
"464"	"bronchial.smooth.muscle.cell"	"mast.cell"	0.0100418410041841
"489"	"serous.cell.of.epithelium.of.bronchus"	"mast.cell"	0.01
"254"	"non.classical.monocyte"	"connective.tissue.cell"	0.00998573466476462
"137"	"myofibroblast.cell"	"cd4.positive..alpha.beta.t.cell"	0.00984528832630099
"498"	"alveolar.fibroblast"	"mucus.secreting.cell"	0.00983606557377049
"714"	"pulmonary.ionocyte"	"smooth.muscle.cell"	0.00977552498189718
"441"	"myofibroblast.cell"	"macrophage"	0.00975213327915482
"129"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00972053462940462
"627"	"lung.ciliated.cell"	"secretory.cell"	0.00971867007672634
"54"	"endothelial.cell.of.lymphatic.vessel"	"b.cell"	0.00967937084089534
"509"	"endothelial.cell.of.artery"	"mucus.secreting.cell"	0.00965665236051502
"533"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00963523743977977
"649"	"adventitial.cell"	"serous.cell.of.epithelium.of.trachea"	0.00960614793467819
"555"	"myofibroblast.cell"	"neutrophil"	0.00959488272921109
"249"	"macrophage"	"connective.tissue.cell"	0.00955631399317406
"302"	"type.ii.pneumocyte"	"double.positive..alpha.beta.thymocyte"	0.00951374207188161
"720"	"type.ii.pneumocyte"	"smooth.muscle.cell"	0.00947867298578199
"568"	"type.ii.pneumocyte"	"neutrophil"	0.00939306358381503
"169"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00934579439252336
"468"	"classical.monocyte"	"mast.cell"	0.0093071354705274
"205"	"endothelial.cell.of.artery"	"ciliated.cell"	0.00929292929292929
"340"	"type.ii.pneumocyte"	"endothelial.cell"	0.00918079096045198
"131"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00917065390749601
"435"	"fibroblast"	"macrophage"	0.00916784203102962
"425"	"basophil"	"macrophage"	0.00915564598168871
"372"	"pulmonary.ionocyte"	"fibroblast"	0.00913937547600914
"80"	"alveolar.fibroblast"	"basal.cell"	0.00910746812386157
