"Spleen"	"Skeletal muscle"	"value"
"33"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00898472596585804
"143"	"regulatory.t.cell"	"endothelial.cell.of.vascular.tree"	0.00892857142857143
"366"	"classical.monocyte"	"slow.muscle.cell"	0.00892244337680165
"166"	"platelet"	"erythrocyte"	0.00891152132399745
"49"	"cd1c.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.00886262924667651
"140"	"plasma.cell"	"endothelial.cell.of.vascular.tree"	0.00875912408759124
"353"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00868055555555556
"128"	"erythrocyte"	"endothelial.cell.of.vascular.tree"	0.00862068965517241
"447"	"naive.b.cell"	"tendon.cell"	0.00828729281767956
"62"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0082815734989648
"417"	"hematopoietic.stem.cell"	"t.cell"	0.00825877494838266
"43"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.00823723228995058
"117"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00816326530612245
"265"	"cd1c.positive.myeloid.dendritic.cell"	"mesenchymal.stem.cell"	0.00802139037433155
"45"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00793650793650794
"93"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.artery"	0.00791765637371338
"399"	"naive.b.cell"	"smooth.muscle.cell"	0.00791295746785361
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.00790067720090293
"4"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00785498489425982
"438"	"classical.monocyte"	"tendon.cell"	0.0078125
"42"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00773395204949729
"301"	"mature.nk.t.cell"	"mesothelial.cell"	0.00767754318618042
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00766283524904215
"408"	"type.i.nk.t.cell"	"smooth.muscle.cell"	0.00765027322404372
"284"	"plasma.cell"	"mesenchymal.stem.cell"	0.00762195121951219
"248"	"erythrocyte"	"mature.nk.t.cell"	0.00755287009063444
"97"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00754310344827586
"455"	"regulatory.t.cell"	"tendon.cell"	0.00754147812971342
"240"	"type.i.nk.t.cell"	"mast.cell"	0.00753498385360603
"331"	"nk.cell"	"pericyte.cell"	0.0075187969924812
"356"	"plasma.cell"	"skeletal.muscle.satellite.stem.cell"	0.00749625187406297
"333"	"plasmacytoid.dendritic.cell"	"pericyte.cell"	0.0074468085106383
"27"	"cd8.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00743494423791822
"379"	"nk.cell"	"slow.muscle.cell"	0.00742240215924426
"191"	"regulatory.t.cell"	"fast.muscle.cell"	0.00738007380073801
"196"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00731350560702097
"236"	"plasma.cell"	"mast.cell"	0.00716479017400205
"279"	"naive.b.cell"	"mesenchymal.stem.cell"	0.00709219858156028
"350"	"memory.b.cell"	"skeletal.muscle.satellite.stem.cell"	0.00707964601769911
"341"	"cd141.positive.myeloid.dendritic.cell"	"skeletal.muscle.satellite.stem.cell"	0.00701262272089762
"443"	"intermediate.monocyte"	"tendon.cell"	0.00693069306930693
"134"	"memory.b.cell"	"endothelial.cell.of.vascular.tree"	0.00684931506849315
"101"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00680272108843537
"135"	"naive.b.cell"	"endothelial.cell.of.vascular.tree"	0.00680272108843537
"312"	"type.i.nk.t.cell"	"mesothelial.cell"	0.00670498084291188
"326"	"memory.b.cell"	"pericyte.cell"	0.00669642857142857
"383"	"regulatory.t.cell"	"slow.muscle.cell"	0.00664206642066421
"307"	"nk.cell"	"mesothelial.cell"	0.00662800331400166
"6"	"classical.monocyte"	"capillary.endothelial.cell"	0.00655021834061135
"13"	"mature.nk.t.cell"	"capillary.endothelial.cell"	0.00645161290322581
"245"	"cd141.positive.myeloid.dendritic.cell"	"mature.nk.t.cell"	0.00643086816720257
"415"	"endothelial.cell"	"t.cell"	0.00641940085592011
"53"	"cd141.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.00632911392405063
"206"	"memory.b.cell"	"macrophage"	0.0062667860340197
"318"	"classical.monocyte"	"pericyte.cell"	0.00622083981337481
"73"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell.of.artery"	0.0062047569803516
"315"	"cd8.positive..alpha.beta.memory.t.cell"	"pericyte.cell"	0.00611620795107034
"85"	"mature.nk.t.cell"	"endothelial.cell.of.artery"	0.00605326876513317
"428"	"plasma.cell"	"t.cell"	0.00600240096038415
"211"	"nk.cell"	"macrophage"	0.00599250936329588
"340"	"cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00599201065246338
"202"	"innate.lymphoid.cell"	"macrophage"	0.00594059405940594
"124"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00591715976331361
"57"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00578512396694215
"285"	"plasmacytoid.dendritic.cell"	"mesenchymal.stem.cell"	0.00572519083969466
"335"	"regulatory.t.cell"	"pericyte.cell"	0.00557620817843866
"29"	"cd141.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00556586270871985
"14"	"memory.b.cell"	"capillary.endothelial.cell"	0.00554016620498615
"422"	"memory.b.cell"	"t.cell"	0.00547195622435021
"397"	"mature.nk.t.cell"	"smooth.muscle.cell"	0.00545851528384279
"1"	"cd1c.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.0054525627044711
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00535475234270415
"328"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00530503978779841
"281"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00529100529100529
"24"	"type.i.nk.t.cell"	"capillary.endothelial.cell"	0.00514800514800515
"243"	"cd8.positive..alpha.beta.memory.t.cell"	"mature.nk.t.cell"	0.00512295081967213
"30"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00511945392491468
"38"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0051150895140665
"68"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00511073253833049
"321"	"hematopoietic.stem.cell"	"pericyte.cell"	0.0051063829787234
"109"	"mature.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00506970849176172
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.0050251256281407
"139"	"nk.cell"	"endothelial.cell.of.vascular.tree"	0.0049813200498132
"375"	"naive.b.cell"	"slow.muscle.cell"	0.00493305144467935
"23"	"regulatory.t.cell"	"capillary.endothelial.cell"	0.00492610837438424
"277"	"mature.nk.t.cell"	"mesenchymal.stem.cell"	0.00492610837438424
"32"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.00483091787439614
"96"	"type.i.nk.t.cell"	"endothelial.cell.of.artery"	0.00483091787439614
"360"	"type.i.nk.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00483091787439614
"445"	"mature.nk.t.cell"	"tendon.cell"	0.00476947535771065
"450"	"neutrophil"	"tendon.cell"	0.00472653612424038
"268"	"cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00468854655056932
"398"	"memory.b.cell"	"smooth.muscle.cell"	0.00463499420625724
"254"	"memory.b.cell"	"mature.nk.t.cell"	0.00455373406193078
"54"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00441176470588235
"280"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00413223140495868
