"Trachea"	"Lung"	"value"
"304"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0109606705351386
"288"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.artery"	0.0109507217521155
"33"	"mast.cell"	"cd4.positive..alpha.beta.t.cell"	0.0109289617486339
"489"	"endothelial.cell"	"nk.cell"	0.0107084019769358
"684"	"cd4.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.0106820049301561
"474"	"mucus.secreting.cell"	"neutrophil"	0.0105680317040951
"167"	"connective.tissue.cell"	"bronchial.vessel.endothelial.cell"	0.0105017502917153
"466"	"ciliated.cell"	"neutrophil"	0.0104746317512275
"222"	"b.cell"	"classical.monocyte"	0.0104712041884817
"173"	"mast.cell"	"bronchial.vessel.endothelial.cell"	0.0104585679806919
"278"	"serous.cell.of.epithelium.of.trachea"	"dendritic.cell"	0.0104408352668213
"292"	"macrophage"	"endothelial.cell.of.artery"	0.0104347826086957
"170"	"fibroblast"	"bronchial.vessel.endothelial.cell"	0.0103896103896104
"534"	"mucus.secreting.cell"	"pericyte.cell"	0.0103092783505155
"657"	"secretory.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0102915951972556
"172"	"macrophage"	"bronchial.vessel.endothelial.cell"	0.0102442868400315
"343"	"basal.cell"	"intermediate.monocyte"	0.0102040816326531
"351"	"ionocyte"	"intermediate.monocyte"	0.0101694915254237
"192"	"macrophage"	"capillary.aerocyte"	0.010077519379845
"505"	"cd8.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.0100502512562814
"153"	"mast.cell"	"bronchial.smooth.muscle.cell"	0.0100418410041841
"653"	"mast.cell"	"serous.cell.of.epithelium.of.bronchus"	0.01
"507"	"connective.tissue.cell"	"non.classical.monocyte"	0.00998573466476462
"444"	"cd4.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00984528832630099
"74"	"mucus.secreting.cell"	"alveolar.fibroblast"	0.00983606557377049
"599"	"smooth.muscle.cell"	"pulmonary.ionocyte"	0.00977552498189718
"452"	"macrophage"	"myofibroblast.cell"	0.00975213327915482
"284"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00972053462940462
"377"	"secretory.cell"	"lung.ciliated.cell"	0.00971867007672634
"302"	"b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00967937084089534
"294"	"mucus.secreting.cell"	"endothelial.cell.of.artery"	0.00965665236051502
"15"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00963523743977977
"58"	"serous.cell.of.epithelium.of.trachea"	"adventitial.cell"	0.00960614793467819
"455"	"neutrophil"	"myofibroblast.cell"	0.00959488272921109
"407"	"connective.tissue.cell"	"macrophage"	0.00955631399317406
"708"	"double.positive..alpha.beta.thymocyte"	"type.ii.pneumocyte"	0.00951374207188161
"719"	"smooth.muscle.cell"	"type.ii.pneumocyte"	0.00947867298578199
"715"	"neutrophil"	"type.ii.pneumocyte"	0.00939306358381503
"325"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00934579439252336
"233"	"mast.cell"	"classical.monocyte"	0.0093071354705274
"286"	"ciliated.cell"	"endothelial.cell.of.artery"	0.00929292929292929
"709"	"endothelial.cell"	"type.ii.pneumocyte"	0.00918079096045198
"324"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.00917065390749601
"332"	"macrophage"	"fibroblast"	0.00916784203102962
"132"	"macrophage"	"basophil"	0.00915564598168871
"590"	"fibroblast"	"pulmonary.ionocyte"	0.00913937547600914
"63"	"basal.cell"	"alveolar.fibroblast"	0.00910746812386157
