"Lung"	"Tongue"	"value"
"78"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00491400491400491
"50"	"classical.monocyte"	"capillary.endothelial.cell"	0.00488997555012225
"313"	"bronchial.vessel.endothelial.cell"	"pericyte.cell"	0.00483870967741936
"451"	"serous.cell.of.epithelium.of.bronchus"	"vein.endothelial.cell"	0.00483091787439614
"165"	"club.cell"	"epithelial.cell"	0.00482315112540193
"454"	"type.ii.pneumocyte"	"vein.endothelial.cell"	0.00479233226837061
"275"	"bronchial.vessel.endothelial.cell"	"keratinocyte"	0.00475285171102662
"155"	"adventitial.cell"	"epithelial.cell"	0.00475059382422803
"250"	"mesothelial.cell"	"immune.cell"	0.00460122699386503
"145"	"respiratory.goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00447427293064877
"455"	"vascular.associated.smooth.muscle.cell"	"vein.endothelial.cell"	0.00446927374301676
"318"	"dendritic.cell"	"pericyte.cell"	0.00439077936333699
"168"	"endothelial.cell.of.lymphatic.vessel"	"epithelial.cell"	0.00435594275046671
"115"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00430663221360896
"281"	"endothelial.cell.of.artery"	"keratinocyte"	0.00428724544480171
"381"	"cd8.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.00426439232409382
"159"	"basophil"	"epithelial.cell"	0.00426136363636364
"370"	"plasma.cell"	"schwann.cell"	0.00422832980972516
"418"	"vein.endothelial.cell"	"tongue.muscle.cell"	0.00420757363253857
"280"	"dendritic.cell"	"keratinocyte"	0.004149377593361
"27"	"pericyte.cell"	"basal.cell"	0.00411522633744856
"104"	"plasma.cell"	"endothelial.cell.of.artery"	0.00408997955010225
"219"	"plasmacytoid.dendritic.cell"	"fibroblast"	0.00407124681933842
"292"	"non.classical.monocyte"	"keratinocyte"	0.0040650406504065
