"Lung"	"Skeletal muscle"	"value"
"151"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0122887864823349
"664"	"intermediate.monocyte"	"t.cell"	0.0122448979591837
"106"	"pulmonary.ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.0122349102773246
"529"	"type.i.pneumocyte"	"pericyte.cell"	0.0122249388753056
"454"	"type.ii.pneumocyte"	"mesenchymal.stem.cell"	0.0122100122100122
"93"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.0121664050235479
"329"	"nk.cell"	"macrophage"	0.0121288163948139
"90"	"dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0121212121212121
"374"	"respiratory.mucous.cell"	"mast.cell"	0.0121002592912705
"705"	"macrophage"	"tendon.cell"	0.0120918984280532
"568"	"type.ii.pneumocyte"	"skeletal.muscle.satellite.stem.cell"	0.0120481927710843
"476"	"lung.microvascular.endothelial.cell"	"mesothelial.cell"	0.012037037037037
"181"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0120076849183477
"509"	"endothelial.cell.of.artery"	"pericyte.cell"	0.0120048019207683
"136"	"mesothelial.cell"	"endothelial.cell.of.artery"	0.0119815668202765
"390"	"capillary.aerocyte"	"mature.nk.t.cell"	0.0117501546072975
"617"	"bronchial.vessel.endothelial.cell"	"smooth.muscle.cell"	0.0117388114453412
"135"	"macrophage"	"endothelial.cell.of.artery"	0.01171875
"337"	"serous.cell.of.epithelium.of.bronchus"	"macrophage"	0.0116448326055313
"653"	"basophil"	"t.cell"	0.0116279069767442
"314"	"capillary.aerocyte"	"macrophage"	0.0115995115995116
"503"	"bronchial.vessel.endothelial.cell"	"pericyte.cell"	0.0115546218487395
"537"	"b.cell"	"skeletal.muscle.satellite.stem.cell"	0.0115384615384615
"222"	"respiratory.mucous.cell"	"endothelial.cell.of.vascular.tree"	0.0115207373271889
"703"	"lung.ciliated.cell"	"tendon.cell"	0.0113430127041742
"309"	"b.cell"	"macrophage"	0.0112866817155756
"449"	"respiratory.goblet.cell"	"mesenchymal.stem.cell"	0.0112179487179487
"173"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.011144883485309
"315"	"capillary.endothelial.cell"	"macrophage"	0.0111248454882571
"630"	"mesothelial.cell"	"smooth.muscle.cell"	0.011063829787234
"621"	"club.cell"	"smooth.muscle.cell"	0.0110441767068273
"158"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0109529025191676
"694"	"capillary.aerocyte"	"tendon.cell"	0.010919017288444
"565"	"serous.cell.of.epithelium.of.bronchus"	"skeletal.muscle.satellite.stem.cell"	0.0108958837772397
"406"	"non.classical.monocyte"	"mature.nk.t.cell"	0.0108949416342412
"65"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.0108499095840868
"540"	"bronchial.smooth.muscle.cell"	"skeletal.muscle.satellite.stem.cell"	0.0107737512242899
"343"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.010752688172043
"450"	"respiratory.mucous.cell"	"mesenchymal.stem.cell"	0.0107270560190703
"391"	"capillary.endothelial.cell"	"mature.nk.t.cell"	0.0106382978723404
"128"	"dendritic.cell"	"endothelial.cell.of.artery"	0.0105485232067511
"657"	"capillary.endothelial.cell"	"t.cell"	0.0105348460291734
"120"	"basal.cell"	"endothelial.cell.of.artery"	0.010515247108307
"456"	"vein.endothelial.cell"	"mesenchymal.stem.cell"	0.0105105105105105
"313"	"bronchial.vessel.endothelial.cell"	"macrophage"	0.0105003088326127
"716"	"respiratory.mucous.cell"	"tendon.cell"	0.010477299185099
"284"	"intermediate.monocyte"	"fast.muscle.cell"	0.0104333868378812
"177"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0104270109235353
"287"	"macrophage"	"fast.muscle.cell"	0.0104166666666667
"401"	"macrophage"	"mature.nk.t.cell"	0.0103857566765579
"34"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.0103828682673589
"656"	"capillary.aerocyte"	"t.cell"	0.0103585657370518
"23"	"myofibroblast.cell"	"capillary.endothelial.cell"	0.0103476821192053
"413"	"serous.cell.of.epithelium.of.bronchus"	"mature.nk.t.cell"	0.0103321033210332
"219"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.vascular.tree"	0.0103305785123967
"388"	"bronchial.smooth.muscle.cell"	"mature.nk.t.cell"	0.0103225806451613
