"Tongue"	"Spleen"	"value"
"113"	"epithelial.cell"	"innate.lymphoid.cell"	0.00113122171945701
"79"	"immune.cell"	"endothelial.cell"	0.00097624471200781
"34"	"schwann.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.000863930885529158
"13"	"basal.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"17"	"epithelial.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"24"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"25"	"basal.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"26"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"27"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.memory.t.cell"	0
"29"	"epithelial.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"30"	"fibroblast"	"cd8.positive..alpha.beta.memory.t.cell"	0
"32"	"keratinocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0
"33"	"pericyte.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"36"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"193"	"basal.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"288"	"vein.endothelial.cell"	"type.i.nk.t.cell"	0
